@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
146,478,30,105,305,0.256098,0.940945,0.819897,0.940945,0.180103,0.87626,0.635076,1.481625,0.277005
147,478,30,103,307,0.25122,0.940945,0.822719,0.940945,0.177281,0.87787,0.632898,1.486725,0.281
148,477,31,102,308,0.24878,0.938976,0.823834,0.938976,0.176166,0.877645,0.630719,1.48874,0.287709
149,476,32,100,310,0.243902,0.937008,0.826389,0.937008,0.173611,0.878229,0.627451,1.493356,0.289789
150,475,33,99,311,0.241463,0.935039,0.827526,0.935039,0.172474,0.878004,0.625272,1.495411,0.292923
151,475,33,98,312,0.239024,0.935039,0.82897,0.935039,0.17103,0.878816,0.624183,1.498021,0.292953
152,475,33,97,313,0.236585,0.935039,0.83042,0.935039,0.16958,0.87963,0.623094,1.50064,0.30206
153,474,34,96,314,0.234146,0.933071,0.831579,0.933071,0.168421,0.879406,0.620915,1.502735,0.305783
154,474,34,95,315,0.231707,0.933071,0.83304,0.933071,0.16696,0.880223,0.619826,1.505376,0.309837
155,474,34,93,317,0.226829,0.933071,0.835979,0.933071,0.164021,0.88186,0.617647,1.510686,0.311411
156,474,34,92,318,0.22439,0.933071,0.837456,0.933071,0.162544,0.882682,0.616558,1.513355,0.313402
157,473,35,92,318,0.22439,0.931102,0.837168,0.931102,0.162832,0.88164,0.615468,1.512835,0.314608
158,472,36,88,322,0.214634,0.929134,0.842857,0.929134,0.157143,0.883895,0.610022,1.523116,0.318183
159,472,36,87,323,0.212195,0.929134,0.844365,0.929134,0.155635,0.884724,0.608932,1.525841,0.329413
160,471,37,87,323,0.212195,0.927165,0.844086,0.927165,0.155914,0.883677,0.607843,1.525337,0.331354
161,470,38,87,323,0.212195,0.925197,0.843806,0.925197,0.156194,0.882629,0.606754,1.524831,0.334415
162,470,38,86,324,0.209756,0.925197,0.845324,0.925197,0.154676,0.883459,0.605664,1.527573,0.345918
163,469,39,85,325,0.207317,0.923228,0.84657,0.923228,0.15343,0.883239,0.603486,1.529826,0.362624
164,468,40,85,325,0.207317,0.92126,0.846293,0.92126,0.153707,0.882187,0.602397,1.529325,0.369484
165,468,40,84,326,0.204878,0.92126,0.847826,0.92126,0.152174,0.883019,0.601307,1.532095,0.372111
166,467,41,84,326,0.204878,0.919291,0.84755,0.919291,0.15245,0.881964,0.600218,1.531596,0.377778
167,466,42,83,327,0.202439,0.917323,0.848816,0.917323,0.151184,0.881741,0.598039,1.533884,0.379277
168,466,42,82,328,0.2,0.917323,0.850365,0.917323,0.149635,0.882576,0.59695,1.536683,0.388648
169,466,42,81,329,0.197561,0.917323,0.85192,0.917323,0.14808,0.883412,0.595861,1.539492,0.395186
170,466,42,80,330,0.195122,0.917323,0.85348,0.917323,0.14652,0.88425,0.594771,1.542312,0.39988
171,465,43,80,330,0.195122,0.915354,0.853211,0.915354,0.146789,0.883191,0.593682,1.541826,0.408317
172,464,44,80,330,0.195122,0.913386,0.852941,0.913386,0.147059,0.882129,0.592593,1.541339,0.408929
173,463,45,80,330,0.195122,0.911417,0.85267,0.911417,0.14733,0.881066,0.591503,1.540849,0.41479
174,462,46,79,331,0.192683,0.909449,0.853974,0.909449,0.146026,0.880839,0.589325,1.543205,0.415404
175,462,46,78,332,0.190244,0.909449,0.855556,0.909449,0.144444,0.881679,0.588235,1.546063,0.417305
176,462,46,77,333,0.187805,0.909449,0.857143,0.909449,0.142857,0.882521,0.587146,1.548931,0.42012
177,461,47,77,333,0.187805,0.90748,0.856877,0.90748,0.143123,0.881453,0.586057,1.548452,0.422797
178,461,47,76,334,0.185366,0.90748,0.858473,0.90748,0.141527,0.882297,0.584967,1.551335,0.423263
179,460,48,76,334,0.185366,0.905512,0.858209,0.905512,0.141791,0.881226,0.583878,1.550858,0.424951
180,458,50,75,335,0.182927,0.901575,0.859287,0.901575,0.140713,0.879923,0.58061,1.552806,0.425255
181,457,51,75,335,0.182927,0.899606,0.859023,0.899606,0.140977,0.878846,0.579521,1.552328,0.42836
